,Logistic Regression,XGBoost,Random Forest,SVM
Accuracy,0.6495,0.7093333333333334,0.7075,0.687
F1-score,0.6905077262693157,0.725872367180132,0.7212073073868149,0.7201192250372578
Precision,0.6445054945054945,0.7199875272840661,0.7229299363057324,0.679606188466948
Recall,0.743581616481775,0.7318541996830428,0.7194928684627575,0.7657686212361331
ROC AUC,0.6443742880299912,0.7081063617044387,0.7068466099783032,0.6827085636936376
