Feature,Importance
m_bb,0.21673574
m_jjj,0.10963376
m_wwbb,0.10283406
jet1_pt,0.09322903
m_jlv,0.08473075
lepton_pT,0.06361973
missing_energy_magnitude,0.058633056
jet2_pt,0.05819101
jet4_pt,0.045008536
jet2_btag,0.043640435
jet3_pt,0.04318903
jet4_btag,0.04051625
jet3_btag,0.04003864
